filesection	Level	tab	section	subsection	                            Notes	Case	Formal/Informal	Español	English	Esperanto	Deutsch	Zuritüütsch	Lingvaro (https://github.com/lquesada/Lingvaro) - Copyright (c) 2019, Luis Quesada Torres - https://github.com/lquesada | www.luisquesada.com
1_basics	title	Basics	Greetings		Basics: Greetings								
1_basics	A1	Basics	Greetings				Informal/Formal	hola	hello / hi	saluton	hallo	grüezi	
1_basics	A1	Basics	Greetings				Informal/Formal	hola a todos	hello everybody	saluton al ĉiuj	hallo zusammen	grüezi mitenand	
1_basics	A1	Basics	Greetings				Informal	hola	hi	saluton	hoi	hoi / sali	
1_basics	A1	Basics	Greetings				Formal	adios	good bye	adiaŭ	auf wiedersehen	ade / uf widerluege	
1_basics	A1	Basics	Greetings				Informal	adios	bye / bye bye	adiaŭ	tschüss	tschau / tschüss	
1_basics	A1	Basics	Greetings				Informal	hasta ahora	see you / see you soon	ĝis / ĝis baldau	bis gleich	bis dann	
1_basics	A1	Basics	Greetings				Informal	hasta pronto	see you / see you soon	ĝis / ĝis baldau	bis bald	bis bald	
1_basics	A1	Basics	Greetings				Informal	hasta la vista	see you / see you soon	ĝis revido	auf wiedersehen	uf widerluege	
1_basics	A1	Basics	Greetings				Formal	buenos días	good morning	bonan matenon	guten Morgen	guete Morge	
1_basics	A1	Basics	Greetings				Formal	buenas tardes	good afternoon	bonan posttagmezon	guten Nachmittag	guete Namittag	
1_basics	A1	Basics	Greetings				Formal	buenas noches (tarde-noche)	good evening	bonan vesperon	guten Abend	guete-n-Aabig	
1_basics	A1	Basics	Greetings				Formal	buenas noches	good night	bonan nokton	gute Nacht	guet Nacht	
1_basics	A1	Basics	Greetings				Formal	buen día	good day	bonan tagon	guten Tag	guete Taag	
1_basics	title	Basics	Basic conversation		Basics: Basic conversation								
1_basics	A1	Basics	Basic conversation				Informal*	¿cómo estás?	how are you?	kiel vi estas?	wie bist du?	wie bisch du?	
1_basics	A1	Basics	Basic conversation				Informal*	¿cómo te va?	how are you doing?	kiel vi fartas?	wie geht es dir?	wie gaat s dir? / wie gaht s dir?	
1_basics	A1	Basics	Basic conversation				Informal*	estoy bien	I am fine	mi fartas bone	es geht mir gut / mir geht es gut	es gaat mir guet / mir gaat s guet	
1_basics	A1	Basics	Basic conversation				Informal	me va bien	I am doing fine	mi fartas bone	es geht mir gut / mir geht es gut	es gaat mir guet / mir gaat s guet	
1_basics	A1	Basics	Basic conversation				Informal	¿quién eres?	who are you?	kiu estas vi?	wer bist du?	wer bisch du?	
1_basics	A1	Basics	Basic conversation				Informal	soy ...	I am ...	mi estas ...	ich bin ...	ich bi ...	
1_basics	A1	Basics	Basic conversation				Informal*	¿cómo te llamas?	what's your name?	kiel vi nomiĝas?	wie heißt du?	wie häissisch du?	
1_basics	A1	Basics	Basic conversation					me llamo ...	my name is ...	mi nomiĝas ...	ich heiße ...	ich häisse ...	
1_basics	A1	Basics	Basic conversation				Informal*	¿cuál es tu nombre?	what's your name?	kiu estas via nomo?	was ist dein Name?	wie isch din Name?	
1_basics	A1	Basics	Basic conversation					mi nombre es ...	my name is ...	mia nomo estas ...	mein Name ist ...	min Name-n-isch ...	
1_basics	title	Basics	Gratitude, Congratulations, Celebrations		Basics: Gratitude, Congratulations, Celebrations								
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					gracias	thanks	dankon	danke	danke / merci	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					gracias por todo	thanks for everything	dankon pro ĉio	danke für alles	danke für alles / merci für alles	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					te lo agradezco	thank you	mi dankas vin	ich danke dir / ich bedanke mich bei dir	ich danke dir / ich bedanke mich bi dir	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					se lo agradezco	thank you	mi dankas vin	ich danke Ihnen / ich bedanke mich bei Ihnen	ich danke Ihne / ich bedanke mich bi Ihne	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					muchas gracias	many thanks / thanks a lot	dankegon	danke vielmals / danke schön	danke villmal / danke schön	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations		Reply to "thanks"		Informal	()	no problem	()	ist schon gut	isch scho guet	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations		Reply to "thanks"		Formal	de nada	you're welcome	nedankinde / ne dankinde	bitte / bitte schön / gern geschehen	bitte / bitte schön / gern gscheh	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					¡felicidades! / ¡enhorabuena!	congratulations!	gratulojn!	Herzlichen Glückwunsch! / Glückwunsche! / Glückwünsche!	Herzliche Glückwunsch! / Glückwunsch! / Glückwünsche!	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					¡feliz cumpleaños!	happy birthday!	feliĉan naskiĝtagon!	Alles Gute zum Geburtstag!	Alles gueti zum Geburstag! / Alles gueti zum Geburi!	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					¡salud!	cheers!	je via sano! / ni tostu je via sano!	prost!	prost!	
1_basics	A1	Basics	Gratitude, Congratulations, Celebrations					¡suerte! / ¡mucha suerte! / ¡buena suerte!	good luck!	bonŝancon	viel Glück!	viel Glück!	
1_basics	title	Basics	Apologies		Basics: Apologies								
1_basics	A1	Basics	Apologies					perdón	sorry	pardonu	entschuldigung / verzeihung	entschuldingung / äxgüsi	
1_basics	A1	Basics	Apologies					lo siento	I am sorry	mi pardonpetas	es tut mir leid	es tuet mir laid	
1_basics	A1	Basics	Apologies				Formal	disculpe	excuse me / pardon me	senkulpigu min	entschuldigen Sie / verzeihen Sie	entschuldige Si	
1_basics	A1	Basics	Apologies				Formal	mis disculpas	my apologies	miaj pardonpetoj	meine Entschuldigung	entschuldige Si	
1_basics	A1	Basics	Apologies		Reply to "I broke this"			no pasa nada	it's ok / it's fine / no problem	neniu problemo	kein Problem	käis Problem	
1_basics	A1	Basics	Apologies		Reply to "thanks"		Informal	está bien	it's ok / it's fine / no problem	estas bone	ist schon in Ordnung / ist alles in Ordnung	isch scho i-n-Ordnig / isch alles i-n-Ordnig / isch scho guet / scho guet	
1_basics	title	Basics	Afirmation and negation		Basics: Afirmation and negation								
1_basics	A1	Basics	Afirmation and negation		Reply			sí	yes	jes	ja	ja	
1_basics	A1	Basics	Afirmation and negation		Reply to negative question			sí	yes, <+ clarification e.g. "I do">	jes	doch	doch / moll	
1_basics	A1	Basics	Afirmation and negation		Reply			no	no	ne	nein	näi	
1_basics	A1	Basics	Afirmation and negation		Phrase negation			no	not	ne	nicht	nöd / nüd	
1_basics	A1	Basics	Afirmation and negation		Accepting proposal			vale	ok	bone	recht / es geht	rächt / s'gaat	
1_basics	title	Basics	Basic articles		Basics: Basic articles								
1_basics	A1	Basics	Basic articles		Male	Nominative		el	the	la	der	de	
1_basics	A1	Basics	Basic articles		Female	Nominative		la	the	la	die	d	
1_basics	A1	Basics	Basic articles		Neutral	Nominative		lo	the	la	das	s	
1_basics	A1	Basics	Basic articles		Male/Neutral Plural	Nominative		los	the	la	die	d	
1_basics	A1	Basics	Basic articles		Female Plural	Nominative		las	the	la	die	d	
1_basics	A1	Basics	Basic articles		Male	Nominative		un	a / an	()	ein	en	
1_basics	A1	Basics	Basic articles		Female	Nominative		una	a / an	()	eine	e (*e-n- vor Vokal)	
1_basics	A1	Basics	Basic articles		Neutral Indeterminate	Nominative		()	a	()	ein	es	
1_basics	A1	Basics	Basic articles		Male/Neutral Plural	Nominative		unos	some	()	einige	äinigi	
1_basics	A1	Basics	Basic articles		Female Plural	Nominative		unas	some	()	einige	äinigi	
1_basics	A1	Basics	Basic articles		Neutral Indeterminate Plural	Nominative		()	some	()	einige	äinigi	
1_basics	title	Basics	Basic pronouns		Basics: Basic pronouns								
1_basics	A1	Basics	Basic pronouns			Nominative		yo	I	mi	ich	ich	
1_basics	A1	Basics	Basic pronouns			Nominative	Informal	tú	you	vi	du	du	
1_basics	A1	Basics	Basic pronouns			Nominative	Formal	usted	you	vi / (ci)	Sie	Si	
1_basics	A1	Basics	Basic pronouns			Nominative		eso / ello	it	ĝi	es	s / es	
1_basics	title	Basics	Basic conjunctions		Basics: Basic conjunctions								
1_basics	A1	Basics	Basic conjunctions					y	and	kaj	und	und	
1_basics	A1	Basics	Basic conjunctions					o	or	aŭ	oder	oder	
1_basics	A1	Basics	Basic conjunctions					que	that	ke	dass	dass	
1_basics	title	Basics	Basic question particles		Basics: Basic question particles								
1_basics	A1	Basics	Basic question particles					quién	who	kiu	wer	wer	
1_basics	A1	Basics	Basic question particles					cuál	which	kiu	welch (+deklination wie Artikel, d_er_, di_e_ da_s_, d_em_, d_en_)	wele (+deklination, F/Pl:e->i, N:+s, DAT M/N:+m, DAT F: +ere, DAT Pl:e->ne)	
1_basics	A1	Basics	Basic question particles					qué	what	kio	was	was	
1_basics	A1	Basics	Basic question particles					qué clase de	what kind of	kia	was für	was für	
1_basics	A1	Basics	Basic question particles		Location without direction			dónde	where	kie	wo	wo	
1_basics	A1	Basics	Basic question particles		Location with direction			a dónde	where	kien	wohin	wohii	
1_basics	A1	Basics	Basic question particles					cómo / al igual que	how / just like	kiel	wie / genauso wie	wie / genauso wie	
1_basics	A1	Basics	Basic question particles					por qué	why	kial	warum / wieso	warum / wieso	
1_basics	A1	Basics	Basic question particles					cuándo	when	kiam	wann	wänn	
1_basics	A1	Basics	Basic question particles					cuánto	how much	kiom	wie viel	wievill	
1_basics	A1	Basics	Basic question particles					cuántos	how many	kiom da	wie viele	wievilli	
1_basics	A1	Basics	Basic question particles					de quién	whose	kies	wessen	()	
1_basics	A1	Basics	Basic question particles					(cambio de orden de palabras)	do / does (+word order change)	ĉu	(Änderung der Wortordnung)	(Änderig vo de Wortordnig)	
1_basics	A1	Basics	Basic question particles					es ..., ¿verdad? / es ..., ¿cierto?	it's ..., isn't it? / it's ..., right?	estas ..., ĉu ne?	es ist ..., oder?	s'isch ..., gäll? / s'isch ..., oder?	
1_basics	A1	Basics	Basic question particles					no es ..., ¿verdad? / no es ..., ¿cierto?	it's not ..., is it?, it's not ..., right?	ne estas ..., ĉu?	es ist nicht ..., oder?	s'isch nöd ..., gäll? / s'isch nöd ..., oder?	
1_basics	title	Basics	Basic verb conjugation		Basics: Basic verb conjugation								
1_basics	A1	Basics	Basic verb conjugation		Infinitive; Constant trait			ser	to be	esti	sein	sii	
1_basics	A1	Basics	Basic verb conjugation		Present			yo soy grande	I am big	mi estas granda / mi grandas	ich bin groß	ich bi grooss	
1_basics	A1	Basics	Basic verb conjugation		Present		Informal	tu eres grande	you are big	vi estas granda / vi grandas	du bist groß	du bisch grooss	
1_basics	A1	Basics	Basic verb conjugation		Infinitive; Transient state			estar	to be	esti	sein	sii	
1_basics	A1	Basics	Basic verb conjugation		Present			yo estoy cansado	I am tired	mi estas laca / mi lacas	ich bin müde	ich bi müed	
1_basics	A1	Basics	Basic verb conjugation		Present		Informal	tú estás cansado	you are tired	vi estas laca / vi lacas	du bist müde	du bisch müed	
1_basics	A1	Basics	Basic verb conjugation		Infinitive			tener	to have	havi	haben	haa	
1_basics	A1	Basics	Basic verb conjugation		Present			yo tengo una manzana	I have an apple	mi havas pomon	ich habe ein Apfel	ich ha-n-en Öpfel	
1_basics	A1	Basics	Basic verb conjugation		Present		Informal	tú tienes una manzana	you have an apple	vi havas pomon	du hast ein Apfel	du häsch en Öpfel	
1_basics	A1	Basics	Basic verb conjugation		Present			yo tengo la manzana	I have the apple	mi havas la pomon	ich habe den Apfel	ich ha de Öpfel	
1_basics	A1	Basics	Basic verb conjugation		Present		Informal	tú tienes la manzana	you have the apple	vi havas la pomon	du hast den Apfel	du häsch de Öpfel	
1_basics	A1	Basics	Basic verb conjugation		Infinitive			saltar	to jump	salti	springen	gumpe	
1_basics	A1	Basics	Basic verb conjugation		Present			yo salto	I jump	mi saltas	ich springe	ich gump(e)	
1_basics	A1	Basics	Basic verb conjugation		Present		Informal	tú saltas	you jump	vi saltas	du springst	du gumpsch	
1_basics	A1	Basics	Basic verb conjugation		Infinitive			comer	to eat	manĝi	essen	ässe	
1_basics	A1	Basics	Basic verb conjugation		Present			yo como	I eat	mi manĝas	ich esse	ich iss(e)	
1_basics	A1	Basics	Basic verb conjugation		Present		Informal	tú comes	you eat	vi manĝas	du isst	du issisch	
1_basics	title	Basics	Basic demonstratives		Basics: Basic demonstratives								
1_basics	A1	Basics	Basic demonstratives			Nominative		esta persona	this one / this person	ĉi tiu	diese Person / dieser Mensch	die Person / de Mänsch	
1_basics	A1	Basics	Basic demonstratives			Nominative		estas personas	these people	ĉi tiuj	diese Person / diese Mensch	die Persone / die Mänsche	
1_basics	A1	Basics	Basic demonstratives			Nominative		esa persona	that one / that person	tiu	diese Person / dieser Mensch	die Person / de Mänsch	
1_basics	A1	Basics	Basic demonstratives			Nominative		esas personas	those people	tiuj	diese Person / diese Mensch	die Persone / die Mänsche	
1_basics	A1	Basics	Basic demonstratives			Nominative		aquella persona	that one / that person	tiu	diese Person / dieser Mensch	die Person / de Mänsch	
1_basics	A1	Basics	Basic demonstratives			Nominative		aquellas personas	those people	tiuj	diese Person / diese Mensch	die Persone / die Mänsche	
1_basics	A1	Basics	Basic demonstratives			Nominative		este (neutro igual, femenino e->a, plural masculino e->os, plural femenino e->as)	this one	ĉi tiu (+pluralo j)	dies (+deklination wie Artikel, d_er_, di_e_ da_s_, d_em_, d_en_)	de (+deklination F/Pl:e->ie, N:e->as)	
1_basics	A1	Basics	Basic demonstratives			Nominative		ese (neutro igual, femenino e->a, plural masculino e->os, plural femenino e->as)	that one	tiu (+pluralo j)	das / dies (+deklination wie Artikel, d_er_, di_e_ da_s_, d_em_, d_en_)	das	
1_basics	A1	Basics	Basic demonstratives			Nominative		aquel (neutro igual, femenino +la, plural masculino +los, plural femenino +las)	that one	tiu (+pluralo j)	das / jene (+deklination wie Artikel, d_er_, di_e_ da_s_, d_em_, d_en_)	das	
1_basics	A1	Basics	Basic demonstratives			Nominative		esto	this thing	ĉi tio	das	das	
1_basics	A1	Basics	Basic demonstratives			Nominative		eso	that thing	tio	das	das	
1_basics	A1	Basics	Basic demonstratives			Nominative		aquello	that thing	tio	das / jene (+deklination wie Artikel, d_er_, di_e_ da_s_, d_em_, d_en_)	das	
1_basics	title	Basics	Language lesson conversation		Basics: Language lesson conversation								
1_basics	A1	Basics	Language lesson conversation					¿cómo se dice ...?	how do you say ...? / how is ... said?	kiel oni diras ...?	wie sagt man ...?	wie säit mer ...?	
1_basics	A1	Basics	Language lesson conversation					¿cómo se dice ... en Español?	how do you say ... in English? / how is ... said in English?	kiel oni diras ... en Esperanto?	wie sagt man ... auf Deutsch?	wie säit mer ... uuf Zuritüütsch?	
1_basics	A1	Basics	Language lesson conversation					se dice ...	it's said ...	oni diras ...	man sagt ...	mer säit ...	
1_basics	A1	Basics	Language lesson conversation					en Español se dice ...	it's said ... in English	oni diras ... en Esperanto	man sagt ... auf Deutsch	mer säit ... uuf Zuritüütsch	
1_basics	A1	Basics	Language lesson conversation					¿se dice ...?	is it said ...?	ĉu oni diras ...?	sagt man ...?	säit mer ...?	
1_basics	A1	Basics	Language lesson conversation					¿se puede decir ...?	can you say ...	ĉu oni povas diri ...?	kann man ... sagen?	cha mer ... säge?	
1_basics	A1	Basics	Language lesson conversation					¿se puede decir así?	can you say it that way?	ĉu oni povas diri tion tiel?	kann man es so sagen?	cha mer's soo säge?	
1_basics	A1	Basics	Language lesson conversation					¿cómo se llama esto?	how is this called?	kiel ĉi tio nomiĝas?	wie heißt das?	wie häisst das?	
1_basics	A1	Basics	Language lesson conversation					¿cómo se llama eso?	how is that called?	kiel tio nomiĝas?	wie heißt das?	wie häisst das?	
1_basics	A1	Basics	Language lesson conversation				Informal*	¿cómo dirías esto?	how would you say this?	kiel vi dirus ĉi tion?	wie würdest du das sagen?	wie wüürsch du das säge?	
1_basics	A1	Basics	Language lesson conversation				Informal*	¿cómo podría decir esto?	how could I say this?	kiel mi povus diri ĉi tion?	wie könnte ich das sagen?	wie chönt ich das säge?	
1_basics	A1	Basics	Language lesson conversation					¿cómo se escribe esto?	how do you write this? / how is this written?	kiel oni skribas tion?	wie schreibt man ...?	wie schriibt mer ...?	
1_basics	A1	Basics	Language lesson conversation					se escribe ...	it's written ...	oni skribas ...	man schreibt ...	mer schriibt ...	
1_basics	A1	Basics	Language lesson conversation					¿es esto correcto? / ¿está esto bien? / ¿está bien esto?	is this correct?	ĉu tio ĝustas? / ĉu tio estas ĝusta?	ist das richtig?	isch das richtig?	
1_basics	A1	Basics	Language lesson conversation					¿es esto incorrecto? / ¿está esto mal? / ¿está mal esto?	is this wrong?	ĉu tio malĝustas? / ĉu tio estas malĝusta?	ist das falsch?	isch das falsch?	
1_basics	A1	Basics	Language lesson conversation					esto es correcto / esto está bien	this is correct	tio ĝustas / tio estas ĝusta	das ist richtig	das isch richtig	
1_basics	A1	Basics	Language lesson conversation					esto es incorrecto / esto está mal	this is wrong	tio malĝustas / tio estas malĝusta	das ist falsch	das isch falsch	
1_basics	A1	Basics	Language lesson conversation					si dices esta palabra, la respuesta es correcta	if you say this word, the reply is correct	se vi diras ĉi tiun vorton, la respondo ĝustas	wenn du dieses Wort sagst, ist die Antwort richtig	wänn du das Wort säisch, isch d Antwort richtig	
1_basics	A1	Basics	Language lesson conversation					la respuesta es correcta si dices esta palabra	the reply is correct if you say this word	la respondo ĝustas, se vi diras ĉi tiun vorton	die Antwort ist richtig, wenn du dieses Wort sagst	d Antwort isch richtig, wänn du das Wort säisch	
1_basics	A1	Basics	Language lesson conversation				Informal	¿cómo? / ¿cómo has dicho? / ¿qué?	what?	kion? / kion vi diras?	wie, bitte?	wie, bitte?	
1_basics	A1	Basics	Language lesson conversation				Informal*	por favor, repite / por favor, dilo otra vez / por favor, vuelve a decirlo	please, repeat that / come again	bonvolu ripeti / bonvole ripetu / bonvolu diri denove / bonvole diru denove	noch einmal, bitte?	no äimal, bitte? / nomal, bitte?	
1_basics	A1	Basics	Language lesson conversation				Informal	¿puedes repetir, por favor? / ¿puedes decirlo otra vez, por favor? / ¿puedes volver a decirlo, por favor?	can you repeat that, please?	ĉu vi povas ripeti tion, bonvole? / ĉu vi povas diri tion denove, bonvole?	kannst du das wieder sagen?	chasch du das nomal säge?	
1_basics	A1	Basics	Language lesson conversation				Formal	¿puede repetir, por favor? / ¿puede decirlo otra vez, por favor? / ¿puede volver a decirlo, por favor?	can you repeat that, please?	ĉu vi povas ripeti tion, bonvole? / ĉu vi povas diri tion denove, bonvole?	können Sie das wieder sagen?	chönd Si das nomal säge?	
1_basics	A1	Basics	Language lesson conversation				Formal	¿podría repetir eso, por favor? / ¿podría decirlo otra vez, por favor? / ¿podría volver a decirlo, por favor?	could you repeat that, please?	ĉu vi povus ripeti tion, bonvole? / ĉu vi povus diri tion denove, bonvole?	könnten Sie das wieder sagen?	chönted Si das nomal säge?	
1_basics	A1	Basics	Language lesson conversation					no lo entiendo	I don't understand that	mi ne komprenas tion	ich verstehe das nicht	ich verstah das nöd	
1_basics	A1	Basics	Language lesson conversation					no he entendido eso	I haven't understood that / i didn't understand that	mi ne komprenis tion	ich habe das nicht verstanden	ich ha das nöd verstande	
1_basics	A1	Basics	Language lesson conversation				Informal*	¿qué idiomas hablas?	what languages do you speak?	kiujn lingvon vi parolas?	welche Sprachen sprichst du?	weli Sprache redsch du?	
1_basics	A1	Basics	Language lesson conversation				Informal*	¿hablas ...?	do you speak ...?	ĉu vi parolas ...?	sprichst du ...?	redsch du ...?	
1_basics	A1	Basics	Language lesson conversation					hablo ...	I speak ...	mi parolas ...	ich spreche ...	ich rede ...	
1_basics	A1	Basics	Language lesson conversation					¿qué significa esta palabra?	what does this word mean?	kion signifas ĉi tiu vorto?	was bedeutet dieses Wort?	was bedüütet das Wort?	
1_basics	A1	Basics	Language lesson conversation					¿qué significan estas palabras?	what do these words mean?	kion signifas ĉi tiuj vortoj?	was bedeuten diese Wörter?	was bedüüted die Wörter?	
1_basics	A1	Basics	Language lesson conversation					¿qué significa esa palabra?	what does that word mean?	kion signifas tiu vorto?	was bedeutet dieses Wort?	was bedüütet das Wort?	
1_basics	A1	Basics	Language lesson conversation					¿qué significan esas palabras?	what do those words mean?	kion signifas tiuj vortoj?	was bedeuten diese Wörter?	was bedüüted die Wörter?	
1_basics	A1	Basics	Language lesson conversation					¿qué significa esta frase?	what does this phrase mean? / what does this sentence mean?	kion signifas tiu frazo?	was bedeutet dieser Satz?	was bedüütet das Satz?	
1_basics	A1	Basics	Language lesson conversation		singular			hay ... / existe ...	there is ...	estas ... / ekzistas ...	es gibt ...	es git ...	
1_basics	A1	Basics	Language lesson conversation		plural			hay ... / existen ...	there are ...	estas ... / ekzistas ...	es gibt ...	es git ...	
1_basics	A1	Basics	Language lesson conversation					¿cuál es la diferencia entre ... y ...?	what is the difference between ... und ...?	kiu estas la malsamo inter ... kaj ...?	was ist der Unterschied zwischen ... und ...?	was isch de Unterschied zwüsche ... und ...?	
1_basics	A1	Basics	Language lesson conversation					¿encaja esta palabra aquí?	does this word fit here?	ĉu tiu vorto taŭgas tie?	passt dieses Wort da? / passt dieses Wort hierhin? / passt dieses Wort dahin?	passt das Wort da?	
1_basics	A1	Basics	Language lesson conversation					¿cómo se pronuncia ...?	how do you pronounce ...?	kiel oni prononcas ...?	wie spricht man ... aus?	wie spricht mer ... uus?	
1_basics	A1	Basics	Language lesson conversation					se pronuncia ...	it's pronounced ...	oni prononcas ĝi tiel: ... / ĝi estas prononcita ...	man spricht das so aus: ...	mer spricht das so uus: ...	
2_language_specifics	title	Language specifics	Español: Contractions		Español: Contractions								
2_language_specifics	A1	Language specifics	Español: Contractions					de + el -> del					
2_language_specifics	A1	Language specifics	Español: Contractions					a + el -> al					
2_language_specifics	title	Language specifics	Español: Gender exceptions		Español: Gender exceptions								
2_language_specifics	A1	Language specifics	Español: Gender exceptions					la + a____ -> el + a___ (e.g. la agua -> el agua)					
2_language_specifics	title	Language specifics	English: Contractions		English: Contractions								
2_language_specifics	A1	Language specifics	English: Contractions						am -> 'm				
2_language_specifics	A1	Language specifics	English: Contractions						are -> 're				
2_language_specifics	A1	Language specifics	English: Contractions						is -> 's				
2_language_specifics	A1	Language specifics	English: Contractions						has -> 's				
2_language_specifics	A1	Language specifics	English: Contractions						have -> 've				
2_language_specifics	A1	Language specifics	English: Contractions						will -> 'll				
2_language_specifics	A1	Language specifics	English: Contractions						had -> 'd				
2_language_specifics	A1	Language specifics	English: Contractions						would -> 'd				
2_language_specifics	title	Language specifics	Esperanto: Contractions		Esperanto: Contractions								
2_language_specifics	A1	Language specifics	Esperanto: Contractions							la itala -> l'itala			
2_language_specifics	A1	Language specifics	Esperanto: Contractions							kanto -> kant'			
2_language_specifics	title	Language specifics	Esperanto: Affixes		Esperanto: Affixes								
2_language_specifics	A1	Language specifics	Esperanto: Affixes	noun	Noun, Singular Nominative					-o			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	noun	Noun, Plural Nominative					-oj			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	noun	Noun, Singular Accusative					-on			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	noun	Noun, Plural Accusative					-ojn			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	adjective	Adjective, Singular Nominative					-a			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	adjective	Adjective, Plural Nominative					-aj			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	adjective	Adjective, Singular Accusative					-an			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	adjective	Adjective, Plural Accusative					-ajn			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	adverb	Adverb					-e			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	verb	Verb, Infinitive					-i			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	verb	Verb, Present tense					-as			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	verb	Verb, Past tense					-is			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	verb	Verb, Future tense					-os			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	verb	Verb, Conditional tense					-us			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	verb	Verb, Imperative					-u			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	participle	Participle, Present Active					-ant-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	participle	Participle, Past Active					-int-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	participle	Participle, Future Active					-ont-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	participle	Participle, Present Passive					-at-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	participle	Participle, Past Passive					-it-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	participle	Participle, Future Passive					-ot-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	relative by marriage, in-law					bo-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	main					ĉef-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	separation, dispersal					dis-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	commencement, suddenness					ek-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	former					eks-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	filthy, disgusting, wicked					fi-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	both sexes together					ge-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	direct opposite					mal-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	wrong					mis-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	primordiality, remote relationship					pra-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	return, repetition					re-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	without					sen-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	awful					-aĉ-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	continual or habitual action					-ad-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	concrete object					-aĵ-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	member (of a group), inhabitant					-an-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	collection, group					-ar-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	possible					-ebl-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	abstract quality/state					-ec-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	great in size or degree					-eg-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	place where an action occurs					-ej-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	inclination					-em-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	which must be done					-end-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	element of homogeneous whole					-er-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	leader					-estr-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	diminutive					-et-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	offspring of living creatures					-id-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	cause to be					-ig-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	become					-iĝ-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	object used to perform an action					-il-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	female, feminine					-in-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	worthy of					-ind-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	holder for a single item					-ing-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	doctrine, movement, theory					-ism-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	professional related to the root					-ist-			
2_language_specifics	A1	Language specifics	Esperanto: Affixes	general	multiplication					-obl-			
